Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000376
Finished Initializing Fawkes,14.991379
Start running protection,3.3e-05
Fininshed Setting Parameters,0.00027
Finished Loading Images,0.009278
Finished Detecting Faces In The Images,1.04707
Finished All Images Target Embedding,4.805887
Finished Initializing Fawkes Protector,21.005331
processing image 1,0.000705
Finished Protecting Images,63.238998
Finished Merging Faces,0.011738
Done! and Finished Exporting File,0.042847
