Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000368
Finished Initializing Fawkes,14.776894
Start running protection,3.2e-05
Fininshed Setting Parameters,0.000337
Finished Loading Images,0.008799
Finished Detecting Faces In The Images,1.022409
Finished All Images Target Embedding,4.629784
Finished Initializing Fawkes Protector,20.90978
processing image 1,0.000704
Finished Protecting Images,477.990384
Finished Merging Faces,0.011756
Done! and Finished Exporting File,0.042363
