Finished Fawkes CLI tools argument setup,0,0,0,0,0
Finished Loading Images Paths,0.00038,0.000418,0.000415,0.000464,0.000385
Finished Initializing Fawkes,15.004635,15.342046,15.170008,15.206724,15.302144
Start running protection,3e-05,3.2e-05,2.9e-05,3.2e-05,3e-05
Fininshed Setting Parameters,2.4e-05,2.4e-05,0.000283,2.5e-05,0.000316
Finished Loading Images,0.021334,0.023332,0.023309,0.023793,0.02361
Finished Detecting Faces In The Images,1.293599,1.275341,1.283133,1.270815,1.331776
Finished All Images Target Embedding,5.325562,5.155975,5.099591,4.688493,5.349893
Finished Initializing Fawkes Protector,22.360869,22.683195,22.169271,22.477264,22.202784
processing image 1,0.003599,0.003353,0.003421,0.003395,0.003108
processing image 2,33.438034,33.198924,33.265288,33.136638,33.242836
processing image 3,18.517792,18.399142,18.580116,18.481672,18.418116
processing image 4,18.378256,18.296782,18.419943,18.475575,18.347849
processing image 5,18.274404,18.189891,18.301522,18.257016,18.161369
Finished Protecting Images,18.306117,18.244579,18.415531,18.530209,18.083721
Finished Merging Faces,0.059154,0.060646,0.060996,0.059351,0.057235
Done! and Finished Exporting File,0.301089,0.298224,0.298685,0.298635,0.299516
