Finished Fawkes CLI tools argument setup,0,0,0,0,0
Finished Loading Images Paths,0.000405,0.00036,0.000418,0.000355,0.00034
Finished Initializing Fawkes,14.269423,14.507777,14.358143,14.46795,14.25698
Start running protection,2.9e-05,2.8e-05,2.8e-05,2.8e-05,4e-05
Fininshed Setting Parameters,2.3e-05,0.000253,2.3e-05,0.000257,0.000265
Finished Loading Images,0.009357,0.009042,0.009334,0.009402,0.008602
Finished Detecting Faces In The Images,0.859545,0.870838,0.862391,0.873157,0.862858
Finished All Images Target Embedding,4.857248,4.878428,4.160603,4.182122,4.191598
Finished Initializing Fawkes Protector,21.2608,21.37761,21.005368,21.228448,20.859578
processing image 1,0.002659,0.002686,0.002791,0.002791,0.002722
processing image 2,30.785709,30.952192,30.662663,31.03094,30.909937
processing image 3,18.009641,17.842916,17.782254,17.950474,17.828874
processing image 4,17.883532,17.794002,17.831673,17.802902,17.853324
Finished Protecting Images,17.715534,17.727797,17.708399,17.810549,17.771295
Finished Merging Faces,0.025124,0.026222,0.025908,0.024285,0.024504
Done! and Finished Exporting File,0.052779,0.052128,0.052827,0.053234,0.055588
