Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000355
Finished Initializing Fawkes,14.46795
Start running protection,2.8e-05
Fininshed Setting Parameters,0.000257
Finished Loading Images,0.009402
Finished Detecting Faces In The Images,0.873157
Finished All Images Target Embedding,4.182122
Finished Initializing Fawkes Protector,21.228448
processing image 1,0.002791
processing image 2,31.03094
processing image 3,17.950474
processing image 4,17.802902
Finished Protecting Images,17.810549
Finished Merging Faces,0.024285
Done! and Finished Exporting File,0.053234
