Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000366
Finished Initializing Fawkes,14.947901
Start running protection,3.2e-05
Fininshed Setting Parameters,2.6e-05
Finished Loading Images,0.009334
Finished Detecting Faces In The Images,1.009842
Finished All Images Target Embedding,5.34796
Finished Initializing Fawkes Protector,21.076028
processing image 1,0.000697
Finished Protecting Images,200.712313
Finished Merging Faces,0.012241
Done! and Finished Exporting File,0.042671
