Finished Fawkes CLI tools argument setup,0,0,0,0,0
Finished Loading Images Paths,0.00042,0.000488,0.000467,0.000435,0.000391
Finished Initializing Fawkes,15.463933,15.17878,15.576112,15.175041,15.070164
Start running protection,3e-05,3.1e-05,3e-05,3.2e-05,3.3e-05
Fininshed Setting Parameters,0.000293,2.5e-05,0.000302,2.5e-05,2.5e-05
Finished Loading Images,0.041765,0.041439,0.040921,0.039705,0.041277
Finished Detecting Faces In The Images,1.76118,1.762987,1.762686,1.760478,1.683879
Finished All Images Target Embedding,5.52665,5.49343,5.615399,5.544657,5.437341
Finished Initializing Fawkes Protector,22.15006,22.338329,22.602866,21.995258,22.381327
processing image 1,0.006424,0.006136,0.006644,0.006868,0.006668
processing image 2,33.099972,32.769604,32.858785,32.822124,32.701966
processing image 3,18.365216,18.412009,18.167845,18.435771,18.303445
processing image 4,18.2026,18.257629,18.170429,18.355572,18.186136
processing image 5,18.056419,18.239089,18.128839,18.127122,18.155133
processing image 6,18.082277,18.219146,18.182658,18.117972,18.016673
processing image 7,18.080162,18.200164,18.160106,18.157191,18.026536
processing image 8,18.078014,18.226966,18.097626,18.127358,18.065903
processing image 9,18.13882,18.289055,18.080564,18.102335,17.999273
processing image 10,18.111036,18.296579,18.067055,18.010855,17.99563
Finished Protecting Images,18.068904,18.285384,18.058492,18.108606,18.029026
Finished Merging Faces,0.11556,0.121033,0.119922,0.11882,0.120235
Done! and Finished Exporting File,0.604744,0.596017,0.603477,0.595584,0.600923
