Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000409
Finished Initializing Fawkes,14.88158
Start running protection,3.3e-05
Fininshed Setting Parameters,2.6e-05
Finished Loading Images,0.009274
Finished Detecting Faces In The Images,1.070164
Finished All Images Target Embedding,4.983818
Finished Initializing Fawkes Protector,21.152565
processing image 1,0.000707
Finished Protecting Images,201.600038
Finished Merging Faces,0.011769
Done! and Finished Exporting File,0.042738
