Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000377
Finished Initializing Fawkes,14.946898
Start running protection,3.7e-05
Fininshed Setting Parameters,0.000354
Finished Loading Images,0.008723
Finished Detecting Faces In The Images,1.030775
Finished All Images Target Embedding,4.810818
Finished Initializing Fawkes Protector,21.100536
processing image 1,0.000705
Finished Protecting Images,201.262118
Finished Merging Faces,0.011671
Done! and Finished Exporting File,0.042367
