Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000366
Finished Initializing Fawkes,14.922701
Start running protection,3.3e-05
Fininshed Setting Parameters,0.000323
Finished Loading Images,0.009042
Finished Detecting Faces In The Images,1.050173
Finished All Images Target Embedding,4.78412
Finished Initializing Fawkes Protector,20.920326
processing image 1,0.00072
Finished Protecting Images,63.07604
Finished Merging Faces,0.011956
Done! and Finished Exporting File,0.042657
