Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000369
Finished Initializing Fawkes,14.956464
Start running protection,3.1e-05
Fininshed Setting Parameters,2.8e-05
Finished Loading Images,0.009357
Finished Detecting Faces In The Images,1.031625
Finished All Images Target Embedding,4.668339
Finished Initializing Fawkes Protector,21.243751
processing image 1,0.00072
Finished Protecting Images,34.91569
Finished Merging Faces,0.012067
Done! and Finished Exporting File,0.042993
