Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000571
Finished Initializing Fawkes,24.578663
Start running protection,3.8e-05
Fininshed Setting Parameters,2.8e-05
Finished Loading Images,0.012207
Finished Detecting Faces In The Images,2.071728
Finished All Images Target Embedding,8.430888
Finished Initializing Fawkes Protector,23.391192
processing image 1,0.000716
Finished Protecting Images,72.144298
Finished Merging Faces,0.017595
Done! and Finished Exporting File,0.075129
