Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000362
Finished Initializing Fawkes,14.91364
Start running protection,3.2e-05
Fininshed Setting Parameters,2.8e-05
Finished Loading Images,0.009162
Finished Detecting Faces In The Images,1.025538
Finished All Images Target Embedding,5.124632
Finished Initializing Fawkes Protector,21.064469
processing image 1,0.000715
Finished Protecting Images,63.234256
Finished Merging Faces,0.011782
Done! and Finished Exporting File,0.042618
