Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000415
Finished Initializing Fawkes,15.170008
Start running protection,2.9e-05
Fininshed Setting Parameters,0.000283
Finished Loading Images,0.023309
Finished Detecting Faces In The Images,1.283133
Finished All Images Target Embedding,5.099591
Finished Initializing Fawkes Protector,22.169271
processing image 1,0.003421
processing image 2,33.265288
processing image 3,18.580116
processing image 4,18.419943
processing image 5,18.301522
Finished Protecting Images,18.415531
Finished Merging Faces,0.060996
Done! and Finished Exporting File,0.298685
