Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000382
Finished Initializing Fawkes,15.175081
Start running protection,3.1e-05
Fininshed Setting Parameters,0.000297
Finished Loading Images,0.009115
Finished Detecting Faces In The Images,1.056385
Finished All Images Target Embedding,4.836885
Finished Initializing Fawkes Protector,21.462118
processing image 1,0.0007
Finished Protecting Images,201.598894
Finished Merging Faces,0.012016
Done! and Finished Exporting File,0.042681
