Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000368
Finished Initializing Fawkes,14.955416
Start running protection,3.3e-05
Fininshed Setting Parameters,2.9e-05
Finished Loading Images,0.009258
Finished Detecting Faces In The Images,1.046186
Finished All Images Target Embedding,5.30093
Finished Initializing Fawkes Protector,20.994689
processing image 1,0.000692
Finished Protecting Images,478.628511
Finished Merging Faces,0.012018
Done! and Finished Exporting File,0.042262
