Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000386
Finished Initializing Fawkes,14.899265
Start running protection,3.2e-05
Fininshed Setting Parameters,0.00014
Finished Loading Images,0.009307
Finished Detecting Faces In The Images,1.017632
Finished All Images Target Embedding,4.670313
Finished Initializing Fawkes Protector,21.11198
processing image 1,0.000718
Finished Protecting Images,476.84868
Finished Merging Faces,0.012084
Done! and Finished Exporting File,0.042584
