Finished Fawkes CLI tools argument setup,0
Finished Loading Images Paths,0.000385
Finished Initializing Fawkes,14.899307
Start running protection,3.5e-05
Fininshed Setting Parameters,2.8e-05
Finished Loading Images,0.00948
Finished Detecting Faces In The Images,1.01936
Finished All Images Target Embedding,4.626323
Finished Initializing Fawkes Protector,21.114368
processing image 1,0.000705
Finished Protecting Images,476.245889
Finished Merging Faces,0.012077
Done! and Finished Exporting File,0.042419
